name,abilities,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless
Bayleef,"['Overgrow', 'Leaf Guard']",62,5120,70,405,45,Leaf Pokémon,80,1059860,1.2,60,88.1,63,80,60,grass,None,15.8,2,0,0
Meganium,"['Overgrow', 'Leaf Guard']",82,5120,70,525,45,Herb Pokémon,100,1059860,1.8,80,88.1,83,100,80,grass,None,100.5,2,0,0
Cyndaquil,"['Blaze', 'Flash Fire']",52,5120,70,309,45,Fire Mouse Pokémon,43,1059860,0.5,39,88.1,60,50,65,fire,None,7.9,2,0,0
Quilava,"['Blaze', 'Flash Fire']",64,5120,70,405,45,Volcano Pokémon,58,1059860,0.9,58,88.1,80,65,80,fire,None,19.0,2,0,0
Typhlosion,"['Blaze', 'Flash Fire']",84,5120,70,534,45,Volcano Pokémon,78,1059860,1.7,78,88.1,109,85,100,fire,None,79.5,2,0,0
Totodile,"['Torrent', 'Sheer Force']",65,5120,70,314,45,Big Jaw Pokémon,64,1059860,0.6,50,88.1,44,48,43,water,None,9.5,2,0,0
Croconaw,"['Torrent', 'Sheer Force']",80,5120,70,405,45,Big Jaw Pokémon,80,1059860,1.1,65,88.1,59,63,58,water,None,25.0,2,0,0
Feraligatr,"['Torrent', 'Sheer Force']",105,5120,70,530,45,Big Jaw Pokémon,100,1059860,2.3,85,88.1,79,83,78,water,None,88.8,2,0,0
Sentret,"['Run Away', 'Keen Eye', 'Frisk']",46,3840,70,215,255,Scout Pokémon,34,1000000,0.8,35,50.0,35,45,20,normal,None,6.0,2,0,0
Furret,"['Run Away', 'Keen Eye', 'Frisk']",76,3840,70,415,90,Long Body Pokémon,64,1000000,1.8,85,50.0,45,55,90,normal,None,32.5,2,0,0
Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",30,3840,70,262,255,Owl Pokémon,30,1000000,0.7,60,50.0,36,56,50,normal,flying,21.2,2,0,0
Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",50,3840,70,452,90,Owl Pokémon,50,1000000,1.6,100,50.0,86,96,70,normal,flying,40.8,2,0,0
Ledyba,"['Swarm', 'Early Bird', 'Rattled']",20,3840,70,265,255,Five Star Pokémon,30,800000,1.0,40,50.0,40,80,55,bug,flying,10.8,2,0,0
Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",35,3840,70,390,90,Five Star Pokémon,50,800000,1.4,55,50.0,55,110,85,bug,flying,35.6,2,0,0
Spinarak,"['Swarm', 'Insomnia', 'Sniper']",60,3840,70,250,255,String Spit Pokémon,40,800000,0.5,40,50.0,40,40,30,bug,poison,8.5,2,0,0
Ariados,"['Swarm', 'Insomnia', 'Sniper']",90,3840,70,400,90,Long Leg Pokémon,70,800000,1.1,70,50.0,60,70,40,bug,poison,33.5,2,0,0
Crobat,"['Inner Focus', 'Infiltrator']",90,3840,70,535,90,Bat Pokémon,80,1000000,1.8,85,50.0,70,80,130,poison,flying,75.0,2,0,0
Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",38,5120,70,330,190,Angler Pokémon,38,1250000,0.5,75,50.0,56,56,67,water,electric,12.0,2,0,0
Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",58,5120,70,460,75,Light Pokémon,58,1250000,1.2,125,50.0,76,76,67,water,electric,22.5,2,0,0
Pichu,"['Static', 'Lightningrod']",40,2560,70,205,190,Tiny Mouse Pokémon,15,1000000,0.3,20,50.0,35,35,60,electric,None,2.0,2,0,0
Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",25,2560,140,218,150,Star Shape Pokémon,28,800000,0.3,50,24.6,45,55,15,fairy,None,3.0,2,0,0
Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",30,2560,70,210,170,Balloon Pokémon,15,800000,0.3,90,24.6,40,20,15,normal,fairy,1.0,2,0,0
Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",20,2560,70,245,190,Spike Ball Pokémon,65,800000,0.3,35,88.1,40,65,20,fairy,None,1.5,2,0,0
Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",40,2560,70,405,75,Happiness Pokémon,85,800000,0.6,55,88.1,80,105,40,fairy,flying,3.2,2,0,0
Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']",50,5120,70,320,190,Little Bird Pokémon,45,1000000,0.2,40,50.0,70,45,70,psychic,flying,2.0,2,0,0
Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']",75,5120,70,470,75,Mystic Pokémon,70,1000000,1.5,65,50.0,95,70,95,psychic,flying,15.0,2,0,0
Mareep,"['Static', 'Plus']",40,5120,70,280,235,Wool Pokémon,40,1059860,0.6,55,50.0,65,45,35,electric,None,7.8,2,0,0
Flaaffy,"['Static', 'Plus']",55,5120,70,365,120,Wool Pokémon,55,1059860,0.8,70,50.0,80,60,45,electric,None,13.3,2,0,0
Ampharos,"['Static', 'Plus']",95,5120,70,610,45,Light Pokémon,105,1059860,1.4,90,50.0,165,110,45,electric,None,61.5,2,0,0
Bellossom,"['Chlorophyll', 'Healer']",80,5120,70,490,45,Flower Pokémon,95,1059860,0.4,75,50.0,90,100,50,grass,None,5.8,2,0,0
Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,2560,70,250,190,Aquamouse Pokémon,50,800000,0.4,70,50.0,20,50,40,water,fairy,8.5,2,0,0
Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,2560,70,420,75,Aquarabbit Pokémon,80,800000,0.8,100,50.0,60,80,50,water,fairy,28.5,2,0,0
Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']",100,5120,70,410,65,Imitation Pokémon,115,1000000,1.2,70,50.0,30,65,30,rock,None,38.0,2,0,0
Politoed,"['Water Absorb', 'Damp', 'Drizzle']",75,5120,70,500,45,Frog Pokémon,75,1059860,1.1,90,50.0,90,100,70,water,None,33.9,2,0,0
Hoppip,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,5120,70,250,255,Cottonweed Pokémon,40,1059860,0.4,35,50.0,35,55,50,grass,flying,0.5,2,0,0
Skiploom,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",45,5120,70,340,120,Cottonweed Pokémon,50,1059860,0.6,55,50.0,45,65,80,grass,flying,1.0,2,0,0
Jumpluff,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,5120,70,460,45,Cottonweed Pokémon,70,1059860,0.8,75,50.0,55,95,110,grass,flying,3.0,2,0,0
Aipom,"['Run Away', 'Pickup', 'Skill Link']",70,5120,70,360,45,Long Tail Pokémon,55,800000,0.8,55,50.0,40,55,85,normal,None,11.5,2,0,0
Sunkern,"['Chlorophyll', 'Solar Power', 'Early Bird']",30,5120,70,180,235,Seed Pokémon,30,1059860,0.3,30,50.0,30,30,30,grass,None,1.8,2,0,0
Sunflora,"['Chlorophyll', 'Solar Power', 'Early Bird']",75,5120,70,425,120,Sun Pokémon,55,1059860,0.8,75,50.0,105,85,30,grass,None,8.5,2,0,0
Yanma,"['Speed Boost', 'Compoundeyes', 'Frisk']",65,5120,70,390,75,Clear Wing Pokémon,45,1000000,1.2,65,50.0,75,45,95,bug,flying,38.0,2,0,0
Wooper,"['Damp', 'Water Absorb', 'Unaware']",45,5120,70,210,255,Water Fish Pokémon,45,1000000,0.4,55,50.0,25,25,15,water,ground,8.5,2,0,0
Quagsire,"['Damp', 'Water Absorb', 'Unaware']",85,5120,70,430,90,Water Fish Pokémon,85,1000000,1.4,95,50.0,65,65,35,water,ground,75.0,2,0,0
Espeon,"['Synchronize', 'Magic Bounce']",65,8960,70,525,45,Sun Pokémon,60,1000000,0.9,65,88.1,130,95,110,psychic,None,26.5,2,0,0
Umbreon,"['Synchronize', 'Inner Focus']",65,8960,35,525,45,Moonlight Pokémon,110,1000000,1.0,95,88.1,60,130,65,dark,None,27.0,2,0,0
Murkrow,"['Insomnia', 'Super Luck', 'Prankster']",85,5120,35,405,30,Darkness Pokémon,42,1059860,0.5,60,50.0,85,42,91,dark,flying,2.1,2,0,0
Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']",75,5120,70,490,70,Royal Pokémon,80,1000000,2.0,95,50.0,100,110,30,water,psychic,79.5,2,0,0
Misdreavus,['Levitate'],60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,50.0,85,85,85,ghost,None,1.0,2,0,0
Unown,['Levitate'],72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,None,72,48,48,psychic,None,5.0,2,0,1
Wobbuffet,"['Shadow Tag', 'Telepathy']",33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,50.0,33,58,33,psychic,None,28.5,2,0,0
Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']",80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,50.0,90,65,85,normal,psychic,41.5,2,0,0
Pineco,"['Sturdy', 'Overcoat']",65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,50.0,35,35,15,bug,None,7.2,2,0,0
Forretress,"['Sturdy', 'Overcoat']",90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,50.0,60,60,40,bug,steel,125.8,2,0,0
Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']",70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,50.0,65,65,45,normal,None,14.0,2,0,0
Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']",75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,50.0,35,65,85,ground,flying,64.8,2,0,0
Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']",125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,50.0,55,95,30,steel,ground,400.0,2,0,0
Snubbull,"['Intimidate', 'Run Away', 'Rattled']",80,5120,70,300,190,Fairy Pokémon,50,800000,0.6,60,24.6,40,40,30,fairy,None,7.8,2,0,0
Granbull,"['Intimidate', 'Quick Feet', 'Rattled']",120,5120,70,450,75,Fairy Pokémon,75,800000,1.4,90,24.6,60,60,45,fairy,None,48.7,2,0,0
Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']",95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,50.0,55,55,85,water,poison,3.9,2,0,0
Scizor,"['Swarm', 'Technician', 'Light Metal']",150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,50.0,65,100,75,bug,steel,118.0,2,0,0
Shuckle,"['Sturdy', 'Gluttony', 'Contrary']",10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,50.0,10,230,5,bug,rock,20.5,2,0,0
Heracross,"['Swarm', 'Guts', 'Moxie']",185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,50.0,40,105,75,bug,fighting,54.0,2,0,0
Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']",95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,50.0,35,75,115,dark,ice,28.0,2,0,0
Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']",80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,50.0,50,50,40,normal,None,8.8,2,0,0
Ursaring,"['Guts', 'Quick Feet', 'Unnerve']",130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,50.0,75,75,55,normal,None,125.8,2,0,0
Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']",40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,50.0,70,40,20,fire,None,35.0,2,0,0
Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']",50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,50.0,90,80,30,fire,rock,55.0,2,0,0
Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,50.0,30,30,50,ice,ground,6.5,2,0,0
Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,5120,70,450,75,Swine Pokémon,80,1250000,1.1,100,50.0,60,60,50,ice,ground,55.8,2,0,0
Corsola,"['Hustle', 'Natural Cure', 'Regenerator']",55,5120,70,410,60,Coral Pokémon,95,800000,0.6,65,24.6,65,95,35,water,rock,5.0,2,0,0
Remoraid,"['Hustle', 'Sniper', 'Moody']",65,5120,70,300,190,Jet Pokémon,35,1000000,0.6,35,50.0,65,35,65,water,None,12.0,2,0,0
Octillery,"['Suction Cups', 'Sniper', 'Moody']",105,5120,70,480,75,Jet Pokémon,75,1000000,0.9,75,50.0,105,75,45,water,None,28.5,2,0,0
Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']",55,5120,70,330,45,Delivery Pokémon,45,800000,0.9,45,50.0,65,45,75,ice,flying,16.0,2,0,0
Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,50.0,80,140,70,water,flying,220.0,2,0,0
Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']",80,6400,70,465,25,Armor Bird Pokémon,140,1250000,1.7,65,50.0,40,70,70,steel,flying,50.5,2,0,0
Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']",60,5120,35,330,120,Dark Pokémon,30,1250000,0.6,45,50.0,80,50,65,dark,fire,10.8,2,0,0
Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']",90,5120,35,600,45,Dark Pokémon,90,1250000,1.4,75,50.0,140,90,115,dark,fire,35.0,2,0,0
Kingdra,"['Swift Swim', 'Sniper', 'Damp']",95,5120,70,540,45,Dragon Pokémon,95,1000000,1.8,75,50.0,95,95,85,water,dragon,152.0,2,0,0
Phanpy,"['Pickup', 'Sand Veil']",60,5120,70,330,120,Long Nose Pokémon,60,1000000,0.5,90,50.0,40,40,40,ground,None,33.5,2,0,0
Donphan,"['Sturdy', 'Sand Veil']",120,5120,70,500,60,Armor Pokémon,120,1000000,1.1,90,50.0,60,60,50,ground,None,120.0,2,0,0
Porygon2,"['Trace', 'Download', 'Analytic']",80,5120,70,515,45,Virtual Pokémon,90,1000000,0.6,85,None,105,95,60,normal,None,32.5,2,0,1
Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']",95,5120,70,465,45,Big Horn Pokémon,62,1250000,1.4,73,50.0,85,65,85,normal,None,71.2,2,0,0
Smeargle,"['Own Tempo', 'Technician', 'Moody']",20,5120,70,250,45,Painter Pokémon,35,800000,1.2,55,50.0,20,45,75,normal,None,58.0,2,0,0
Tyrogue,"['Guts', 'Steadfast', 'Vital Spirit']",35,6400,70,210,75,Scuffle Pokémon,35,1000000,0.7,35,100.0,35,35,35,fighting,None,21.0,2,0,0
Hitmontop,"['Intimidate', 'Technician', 'Steadfast']",95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,100.0,35,110,70,fighting,None,48.0,2,0,0
Smoochum,"['Oblivious', 'Forewarn', 'Hydration']",30,6400,70,305,45,Kiss Pokémon,15,1000000,0.4,45,0.0,85,65,65,ice,psychic,6.0,2,0,0
Elekid,"['Static', 'Vital Spirit']",63,6400,70,360,45,Electric Pokémon,37,1000000,0.6,45,75.4,65,55,95,electric,None,23.5,2,0,0
Magby,"['Flame Body', 'Vital Spirit']",75,6400,70,365,45,Live Coal Pokémon,37,1000000,0.7,45,75.4,70,55,83,fire,None,21.4,2,0,0
Miltank,"['Thick Fat', 'Scrappy', 'Sap Sipper']",80,5120,70,490,45,Milk Cow Pokémon,105,1250000,1.2,95,0.0,40,70,100,normal,None,75.5,2,0,0
Blissey,"['Natural Cure', 'Serene Grace', 'Healer']",10,10240,140,540,30,Happiness Pokémon,10,800000,1.5,255,0.0,75,135,55,normal,None,46.8,2,0,0
Raikou,"['Pressure', 'Inner Focus']",85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,None,115,100,115,electric,None,178.0,2,1,1
Entei,"['Pressure', 'Inner Focus']",115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,None,90,75,100,fire,None,198.0,2,1,1
Suicune,"['Pressure', 'Inner Focus']",75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,None,90,115,85,water,None,187.0,2,1,1
Larvitar,"['Guts', 'Sand Veil']",64,10240,35,300,45,Rock Skin Pokémon,50,1250000,0.6,50,50.0,45,50,41,rock,ground,72.0,2,0,0
Pupitar,['Shed Skin'],84,10240,35,410,45,Hard Shell Pokémon,70,1250000,1.2,70,50.0,65,70,51,rock,ground,152.0,2,0,0
Tyranitar,"['Sand Stream', 'Unnerve']",164,10240,35,700,45,Armor Pokémon,150,1250000,2.0,100,50.0,95,120,71,rock,dark,202.0,2,0,0
Lugia,"['Pressure', 'Multiscale']",90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,None,90,154,110,psychic,flying,216.0,2,1,1
Ho-Oh,"['Pressure', 'Regenerator']",130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,None,110,154,90,fire,flying,199.0,2,1,1
Celebi,['Natural Cure'],100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,None,100,100,100,psychic,grass,5.0,2,1,1
Treecko,"['Overgrow', 'Unburden']",45,5120,70,310,45,Wood Gecko Pokémon,35,1059860,0.5,40,88.1,65,55,70,grass,None,5.0,3,0,0
Grovyle,"['Overgrow', 'Unburden']",65,5120,70,405,45,Wood Gecko Pokémon,45,1059860,0.9,50,88.1,85,65,95,grass,None,21.6,3,0,0
Sceptile,"['Overgrow', 'Unburden']",110,5120,70,630,45,Forest Pokémon,75,1059860,1.7,70,88.1,145,85,145,grass,None,52.2,3,0,0
Torchic,"['Blaze', 'Speed Boost']",60,5120,70,310,45,Chick Pokémon,40,1059860,0.4,45,88.1,70,50,45,fire,None,2.5,3,0,0
Combusken,"['Blaze', 'Speed Boost']",85,5120,70,405,45,Young Fowl Pokémon,60,1059860,0.9,60,88.1,85,60,55,fire,fighting,19.5,3,0,0
Blaziken,"['Blaze', 'Speed Boost']",160,5120,70,630,45,Blaze Pokémon,80,1059860,1.9,80,88.1,130,80,100,fire,fighting,52.0,3,0,0
Mudkip,"['Torrent', 'Damp']",70,5120,70,310,45,Mud Fish Pokémon,50,1059860,0.4,50,88.1,50,50,40,water,None,7.6,3,0,0
Marshtomp,"['Torrent', 'Damp']",85,5120,70,405,45,Mud Fish Pokémon,70,1059860,0.7,70,88.1,60,70,50,water,ground,28.0,3,0,0
Swampert,"['Torrent', 'Damp']",150,5120,70,635,45,Mud Fish Pokémon,110,1059860,1.5,100,88.1,95,110,70,water,ground,81.9,3,0,0
Poochyena,"['Run Away', 'Quick Feet', 'Rattled']",55,3840,70,220,255,Bite Pokémon,35,1000000,0.5,35,50.0,30,30,35,dark,None,13.6,3,0,0
Mightyena,"['Intimidate', 'Quick Feet', 'Moxie']",90,3840,70,420,127,Bite Pokémon,70,1000000,1.0,70,50.0,60,60,70,dark,None,37.0,3,0,0
Zigzagoon,"['Pickup', 'Gluttony', 'Quick Feet']",30,3840,70,240,255,Tiny Racoon Pokémon,41,1000000,0.4,38,50.0,30,41,60,normal,None,17.5,3,0,0
Linoone,"['Pickup', 'Gluttony', 'Quick Feet']",70,3840,70,420,90,Rush Pokémon,61,1000000,0.5,78,50.0,50,61,100,normal,None,32.5,3,0,0
Wurmple,"['Shield Dust', 'Run Away']",45,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,50.0,20,30,20,bug,None,3.6,3,0,0
Silcoon,['Shed Skin'],35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.6,50,50.0,25,25,15,bug,None,10.0,3,0,0
Beautifly,"['Swarm', 'Rivalry']",70,3840,70,395,45,Butterfly Pokémon,50,1000000,1.0,60,50.0,100,50,65,bug,flying,28.4,3,0,0
Cascoon,['Shed Skin'],35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,50.0,25,25,15,bug,None,11.5,3,0,0
Dustox,"['Shield Dust', 'Compoundeyes']",50,3840,70,385,45,Poison Moth Pokémon,70,1000000,1.2,60,50.0,50,90,65,bug,poison,31.6,3,0,0
Lotad,"['Swift Swim', 'Rain Dish', 'Own Tempo']",30,3840,70,220,255,Water Weed Pokémon,30,1059860,0.5,40,50.0,40,50,30,water,grass,2.6,3,0,0
Lombre,"['Swift Swim', 'Rain Dish', 'Own Tempo']",50,3840,70,340,120,Jolly Pokémon,50,1059860,1.2,60,50.0,60,70,50,water,grass,32.5,3,0,0
Ludicolo,"['Swift Swim', 'Rain Dish', 'Own Tempo']",70,3840,70,480,45,Carefree Pokémon,70,1059860,1.5,80,50.0,90,100,70,water,grass,55.0,3,0,0
Seedot,"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,3840,70,220,255,Acorn Pokémon,50,1059860,0.5,40,50.0,30,30,30,grass,None,4.0,3,0,0
Nuzleaf,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,3840,70,340,120,Wily Pokémon,40,1059860,1.0,70,50.0,60,40,60,grass,dark,28.0,3,0,0
Shiftry,"['Chlorophyll', 'Early Bird', 'Pickpocket']",100,3840,70,480,45,Wickid Pokémon,60,1059860,1.3,90,50.0,90,60,80,grass,dark,59.6,3,0,0
Taillow,"['Guts', 'Scrappy']",55,3840,70,270,200,TinySwallow Pokémon,30,1059860,0.3,40,50.0,30,30,85,normal,flying,2.3,3,0,0
Swellow,"['Guts', 'Scrappy']",85,3840,70,455,45,Swallow Pokémon,60,1059860,0.7,60,50.0,75,50,125,normal,flying,19.8,3,0,0
Wingull,"['Keen Eye', 'Hydration', 'Rain Dish']",30,5120,70,270,190,Seagull Pokémon,30,1000000,0.6,40,50.0,55,30,85,water,flying,9.5,3,0,0
Pelipper,"['Keen Eye', 'Drizzle', 'Rain Dish']",50,5120,70,440,45,Water Bird Pokémon,100,1000000,1.2,60,50.0,95,70,65,water,flying,28.0,3,0,0
Ralts,"['Synchronize', 'Trace', 'Telepathy']",25,5120,35,198,235,Feeling Pokémon,25,1250000,0.4,28,50.0,45,35,40,psychic,fairy,6.6,3,0,0
Kirlia,"['Synchronize', 'Trace', 'Telepathy']",35,5120,35,278,120,Emotion Pokémon,35,1250000,0.8,38,50.0,65,55,50,psychic,fairy,20.2,3,0,0
Gardevoir,"['Synchronize', 'Trace', 'Telepathy']",85,5120,35,618,45,Embrace Pokémon,65,1250000,1.6,68,50.0,165,135,100,psychic,fairy,48.4,3,0,0
Surskit,"['Swift Swim', 'Rain Dish']",30,3840,70,269,200,Pond Skater Pokémon,32,1000000,0.5,40,50.0,50,52,65,bug,water,1.7,3,0,0
Masquerain,"['Intimidate', 'Unnerve']",60,3840,70,454,75,Eyeball Pokémon,62,1000000,0.8,70,50.0,100,82,80,bug,flying,3.6,3,0,0
Shroomish,"['Effect Spore', 'Poison Heal', 'Quick Feet']",40,3840,70,295,255,Mushroom Pokémon,60,1640000,0.4,60,50.0,40,60,35,grass,None,4.5,3,0,0
Breloom,"['Effect Spore', 'Poison Heal', 'Technician']",130,3840,70,460,90,Mushroom Pokémon,80,1640000,1.2,60,50.0,60,60,70,grass,fighting,39.2,3,0,0
Slakoth,['Truant'],60,3840,70,280,255,Slacker Pokémon,60,1250000,0.8,60,50.0,35,35,30,normal,None,24.0,3,0,0
Vigoroth,['Vital Spirit'],80,3840,70,440,120,Wild Monkey Pokémon,80,1250000,1.4,80,50.0,55,55,90,normal,None,46.5,3,0,0
Slaking,['Truant'],160,3840,70,670,45,Lazy Pokémon,100,1250000,2.0,150,50.0,95,65,100,normal,None,130.5,3,0,0
Nincada,"['Compoundeyes', 'Run Away']",45,3840,70,266,255,Trainee Pokémon,90,600000,0.5,31,50.0,30,30,40,bug,ground,5.5,3,0,0
Ninjask,"['Speed Boost', 'Infiltrator']",90,3840,70,456,120,Ninja Pokémon,45,600000,0.8,61,50.0,50,50,160,bug,flying,12.0,3,0,0
Shedinja,['Wonder Guard'],90,3840,70,236,45,Shed Pokémon,45,600000,0.8,1,None,30,30,40,bug,ghost,1.2,3,0,1
Whismur,"['Soundproof', 'Rattled']",51,5120,70,240,190,Whisper Pokémon,23,1059860,0.6,64,50.0,51,23,28,normal,None,16.3,3,0,0
Loudred,"['Soundproof', 'Scrappy']",71,5120,70,360,120,Big Voice Pokémon,43,1059860,1.0,84,50.0,71,43,48,normal,None,40.5,3,0,0
Exploud,"['Soundproof', 'Scrappy']",91,5120,70,490,45,Loud Noise Pokémon,63,1059860,1.5,104,50.0,91,73,68,normal,None,84.0,3,0,0
Makuhita,"['Thick Fat', 'Guts', 'Sheer Force']",60,5120,70,237,180,Guts Pokémon,30,1640000,1.0,72,75.4,20,30,25,fighting,None,86.4,3,0,0
Hariyama,"['Thick Fat', 'Guts', 'Sheer Force']",120,5120,70,474,200,Arm Thrust Pokémon,60,1640000,2.3,144,75.4,40,60,50,fighting,None,253.8,3,0,0
Azurill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,2560,70,190,150,Polka Dot Pokémon,40,800000,0.2,50,24.6,20,40,20,normal,fairy,2.0,3,0,0
Nosepass,"['Sturdy', 'Magnet Pull', 'Sand Force']",45,5120,70,375,255,Compass Pokémon,135,1000000,1.0,30,50.0,45,90,30,rock,None,97.0,3,0,0
Skitty,"['Cute Charm', 'Normalize', 'Wonder Skin ']",45,3840,70,260,255,Kitten Pokémon,45,800000,0.6,50,24.6,35,35,50,normal,None,11.0,3,0,0
Delcatty,"['Cute Charm', 'Normalize', 'Wonder Skin ']",65,3840,70,400,60,Prim Pokémon,65,800000,1.1,70,24.6,55,55,90,normal,None,32.6,3,0,0
Sableye,"['Keen Eye', 'Stall', 'Prankster']",85,6400,35,480,45,Darkness Pokémon,125,1059860,0.5,50,50.0,85,115,20,dark,ghost,11.0,3,0,0
Mawile,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",105,5120,70,480,45,Deceiver Pokémon,125,800000,0.6,50,50.0,55,95,50,steel,fairy,11.5,3,0,0
Aron,"['Sturdy', 'Rock Head', 'Heavy Metal']",70,8960,35,330,180,Iron Armor Pokémon,100,1250000,0.4,50,50.0,40,40,30,steel,rock,60.0,3,0,0
Lairon,"['Sturdy', 'Rock Head', 'Heavy Metal']",90,8960,35,430,90,Iron Armor Pokémon,140,1250000,0.9,60,50.0,50,50,40,steel,rock,120.0,3,0,0
Aggron,"['Sturdy', 'Rock Head', 'Heavy Metal']",140,8960,35,630,45,Iron Armor Pokémon,230,1250000,2.1,70,50.0,60,80,50,steel,rock,360.0,3,0,0
Meditite,"['Pure Power', 'Telepathy']",40,5120,70,280,180,Meditate Pokémon,55,1000000,0.6,30,50.0,40,55,60,fighting,psychic,11.2,3,0,0
Medicham,"['Pure Power', 'Telepathy']",100,5120,70,510,90,Meditate Pokémon,85,1000000,1.3,60,50.0,80,85,100,fighting,psychic,31.5,3,0,0
Electrike,"['Static', 'Lightningrod', 'Minus']",45,5120,70,295,120,Lightning Pokémon,40,1250000,0.6,40,50.0,65,40,65,electric,None,15.2,3,0,0
Manectric,"['Static', 'Lightningrod', 'Minus']",75,5120,70,575,45,Discharge Pokémon,80,1250000,1.5,70,50.0,135,80,135,electric,None,40.2,3,0,0
Plusle,"['Plus', 'Lightningrod']",50,5120,70,405,200,Cheering Pokémon,40,1000000,0.4,60,50.0,85,75,95,electric,None,4.2,3,0,0
Minun,"['Minus', 'Volt Absorb']",40,5120,70,405,200,Cheering Pokémon,50,1000000,0.4,60,50.0,75,85,95,electric,None,4.2,3,0,0
Volbeat,"['Illuminate', 'Swarm', 'Prankster']",73,3840,70,430,150,Firefly Pokémon,75,600000,0.7,65,100.0,47,85,85,bug,None,17.7,3,0,0
